ID,Absatz,Welche Aufgaben hat der Bundeskanzler aktuell außer Deutschland zu repräsentieren?
8.47,"Das Problem der Errichtung einer vollkommnen bürgerlichen Verfassung ist von dem Problem eines gesetzmäßigen äußeren Staatenverhältnisses abhängig und kann ohne das letztere nicht aufgelöset werden. Was hilfts, an einer gesetzmäßigen bürgerlichen Verfassung unter einzelnen Menschen, d. i. an der Anordnung eines gemeinen Wesens, zu arbeiten? Dieselbe Ungeselligkeit, welche die Menschen hiezu nöthigte, ist wieder die Ursache, daß ein jedes gemeine Wesen in äußerem Verhältnisse, d. i. als ein Staat in Beziehung auf Staaten, in ungebundener Freiheit steht, und folglich einer von dem andern eben die Übel erwarten muß, die die einzelnen Menschen drückten und sie zwangen in einen gesetzmäßigen bürgerlichen Zustand zu treten. Die Natur hat also die Unvertragsamkeit der Menschen, selbst der großen Gesellschaften und Staatskörper dieser Art Geschöpfe wieder zu einem Mittel gebraucht, um in dem unvermeidlichen Antagonism derselben einen Zustand der Ruhe und Sicherheit auszufinden; d. i. sie treibt durch die Kriege, durch die überspannte und niemals nachlassende Zurüstung zu denselben, durch die Noth, die dadurch endlich ein jeder Staat selbst mitten im Frieden innerlich fühlen muß, zu anfänglich unvollkommenen Versuchen, endlich aber nach vielen Verwüstungen, Umkippungen und selbst durchgängiger innerer Erschöpfung ihrer Kräfte zu dem, was ihnen die Vernunft auch ohne so viel traurige Erfahrung hätte sagen können, nämlich: aus dem gesetzlosen Zustande der Wilden hinaus zu gehen und in einen Völkerbund zu treten; wo jeder, auch der kleinste Staat seine Sicherheit und Rechte nicht von eigener Macht, oder eigener rechtlichen Beurtheilung, sondern allein von diesem großen Völkerbunde ( Foedus Amphictyonum ), von einer vereinigten Macht und von der Entscheidung nach Gesetzen des vereinigten Willens erwarten könnte. So schwärmerisch diese Idee auch zu sein scheint und als eine solche an einem Abbß von St. Pierre oder Rousseau verlacht worden (vielleicht, weil sie solche in der Ausführung zu nahe glaubten): so ist es doch der unvermeidliche Ausgang der Noth, worein sich Menschen einander versetzen, die die Staaten zu eben der Entschließung (so schwer es ihnen auch eingeht) zwingen muß, wozu der wilde Mensch eben so ungern gezwungen ward, nämlich: seine brutale Freiheit aufzugeben und in einer gesetzmäßigen Verfassung Ruhe und Sicherheit zu suchen. - Alle Kriege sind demnach so viel Versuche (zwar nicht in der Absicht der Menschen, aber doch in der Absicht der Natur), neue Verhältnisse der Staaten zu Stande zu bringen und durch Zerstörung, wenigstens Zerstückelung alter neue Körper zu bilden, die sich aber wieder entweder in sich selbst oder neben einander nicht erhalten können und daher neue, ähnliche Revolutionen erleiden müssen; bis endlich einmal theils durch die bestmögliche Anordnung der bürgerlichen Verfassung innerlich, theils durch eine gemeinschaftliche Verabredung und Gesetzgebung äußerlich ein Zustand errichtet wird, der, einem bürgerlichen gemeinen Wesen ähnlich, so wie ein Automat sich selbst erhalten kann.",4
9.323,"Zwischen Meinen, Glauben und Wissen findet demnach ein wesentlicher Unterschied statt, den wir hier noch genauer und ausführlicher auseinandersetzen wollen.",0
1.222,Dieser Gedanke hat mehr wie eine schlimme Seite. Wir wollen einige derselben betrachten.,0
7.313,"Etwas Schweres leicht zu machen ist Verdienst; es als leicht vorzumalen, ob man gleich es selbst zu leisten nicht vermag, ist Betrug. Das, was leicht ist, zu thun, ist verdienstlos. Methoden und Maschinen und unter diesen die Vertheilung der Arbeiten unter verschiedene Künstler (fabrikenmäßige Arbeit) machen vieles leicht, was mit eigenen Händen ohne andere Werkzeuge zu thun schwer sein würde.",0
9.2419,"Um in den Kindern einen moralischen Charakter zu begründen, müssen wir folgendes merken:",0
2.584,"Diejenige Wissenschaften, welche ich in dem jetzt angefangenen halben Jahre durch Privatvorlesungen vorzutragen und völlig abzuhandeln gedenke, sind folgende:",0
7.235,"Diesem Unwesen zu steuren, schlage ich vor: den Druck der Berliner Monatsschrift (nach Text und Noten) zum Muster zu nehmen; denn man mag, welches Stück man will, in die Hand nehmen, so wird man die durch obige Leserei angegriffene Augen durch Ansicht des letzteren merklich gestärkt fühlen. *)",0
1.493,Diese Anmerkung belohnt unsere Mühe mit wichtigen Folgerungen.,0
1.692,"Wir wollen den Gedanken, den er vorgetragen, zu verbessern und ihm diejenige Wendung zu ertheilen suchen, dadurch er an wichtigen Folgen fruchtbar sein kann, deren völlige Bestätigung den künftigen Zeiten aufbehalten ist.",0
1.97,"Ich finde in der Abhandlung, die Herr Bülfinger der Petersburgischen Akademie überreicht hat, eine Betrachtung, der ich mich jederzeit als einer Regel in der Untersuchung der Wahrheiten bedient habe. Wenn Männer von gutem Verstande, bei denen entweder auf keinem oder auf beiden Theilen die Vermuthung fremder Absichten zu finden ist, ganz wider einander laufende Meinungen behaupten, so ist es der Logik der Wahrscheinlichkeiten gemäß, seine Aufmerksamkeit am meisten auf einen gewissen Mittelsatz zu richten, der beiden Parteien in gewisser Maße Recht läßt.",0
8.355,"II. Auf die Beschwerde, die wider die göttliche Gütigkeit aus den Übeln, nämlich Schmerzen, in dieser Welt erhoben wird, besteht nun die Rechtfertigung derselben gleichfalls.",0
9.1510,Noch immer verändert sich die Gestalt der Erde und zwar vorzüglich durch folgende Ursachen:,0
9.378,"Es giebt mehrere Ursachen, durch die das Vorurtheil des Alterthums erzeugt und unterhalten wird.",0
9.1010,Die berühmtesten Straßen oder Meerengen nun sind:,0
9.941,Aus dieser Bewegung der Erde nun um die Sonne entstehen folgende Kreise:,0
9.962,"Jupiter hat einen Durchmesser von 18920 Meilen. Ein Jahr in ihm beträgt eilf unserer gemeinen Jahre, 315 Tage, 14 Stunden, 27 Minuten und 11 Secunden. Das Sonnenlicht bedarf einer Zeit von 42 Minuten 13 Secunden, ehe es diesen Planeten erreicht.",0
4.1244,"Die ursprüngliche Anziehungskraft, worauf selbst die Möglichkeit der Materie als einer solchen beruht, erstreckt sich im Weltraume von jedem Theile derselben auf jeden andern unmittelbar ins Unendliche.",0
9.1004,Die merkwürdigsten Meerbusen sind:,0
9.926,"den Äquator und zwar von Westen nach Osten hin in die bestimmten Grade abtheilt, weil die Bewegung der Erde eben diese ist *).",0
2.376,"Doch ich schreite zur Abhandlung selbst, um zu zeigen, welche Anwendung dieser Begriff überhaupt in der Weltweisheit haben könne.",0
4.894,"Das ist es, was ich zur Möglichkeit einer Metaphysik als Wissenschaft zu fordern mich berechtigt halte.",0
9.91,Das Feld der Philosophie in dieser weltbürgerlichen Bedeutung läßt sich auf folgende Fragen bringen:,6
4.913,"Vorschlag zu einer Untersuchung der Kritik, auf welche das Urtheil folgen kann.",0
6.284,Die metaphysische Anfangsgründe der Tugendlehre hoffe ich in Kurzem liefern zu können.,0
1.38,"Diese Beobachtung habe ich mir in der Ausführung meines Vorhabens ein Gesetz sein lassen, wie man bald wahrnehmen wird.",0
7.128,Der Schluß hieraus ist nun dieser:,0
1.49,"Ich werde in diesem Vorberichte keine Erzählung von demjenigen machen, was ich in gegenwärtiger Abhandlung in der Sache der lebendigen Kräfte zu leisten gedenke. Dieses Buch hat keine andere Hoffnung gelesen zu werden, als diejenige, die es auf seine Kürze bauet; es wird also dem Leser leicht sein sich seinen Inbegriff selber bekannt zu machen.",0
4.1130,"Den Begriff einer zusammengesetzten Bewegung construiren heißt eine Bewegung, so fern sie aus zwei oder mehreren gegebenen in einem Beweglichen vereinigt entspringt, a priori in der Anschauung darstellen.",0
9.700,"Anmerkung. Die Alten machten sehr viel aus dem Dilemma und nannten diesen Schluß cornutus . Sie wußten einen Gegner dadurch in die Enge zu treiben, daß sie alles hersagten, wo er sich hinwenden konnte und ihm dann auch alles widerlegten. Sie zeigten ihm viele Schwierigkeiten bei jeder Meinung, die er annahm. Aber es ist ein sophistischer Kunstgriff, Sätze nicht geradezu zu widerlegen, sondern nur Schwierigkeiten zu zeigen; welches denn auch bei vielen, ja bei den mehresten Dingen angeht.",0
9.79,"Wir haben die Vernunfterkenntnisse für Erkenntnisse aus Principien erklärt und hieraus folgt: daß sie a priori sein müssen. Es giebt aber zwei Arten von Erkenntnissen, die beide a priori sind, dennoch aber viele namhafte Unterschiede haben, nämlich Mathematik und Philosophie.",0
9.1989,"ist weißlicht blau und eine Art Bleierz, aber härter. Setzt sich an die goslarschen Schmelzofen beim Schmelzen des Bleierzes, wo es häufig abgekratzt wird.",0
6.374,"2) Thue niemanden Unrecht ( neminem laede ), und solltest du darüber auch aus aller Verbindung mit andern heraus gehen und alle Gesellschaft meiden müssen ( Lex iuridica ).",0
9.791,"1) als ein Satz betrachtet, wahr sei, ob sie",0
9.1960,"Die Bejuken sind hölzerne Stricke, welche auf einer Art Weiden in Amerika wachsen, und welche die Indianer so wie wir unsere Hanfstricke brauchen.",0
9.193,8) suche man seinen Horizont immer doch mehr zu erweitern als zu verengen.,0
9.781,"3. Eine Definition ist genetisch, wenn sie einen Begriff giebt, durch welchen der Gegenstand a priori in concreto kann dargestellt werden; dergleichen sind alle mathematischen Definitionen.",0
9.286,"Übrigens müssen wir hier die logische Wichtigkeit und Fruchtbarkeit von der praktischen, der Nützlichkeit und Brauchbarkeit unterscheiden.",0
9.1660,ist nicht einmal so groß wie ein kleiner Hase. Sein in Gold eingefaßtes Füßchen wird zum Tabacksstopfen gebraucht.,0
2.539,"Zweite Betrachtung. Die einzige Methode, zur höchstmöglichen Gewißheit in der Metaphysik zu gelangen.",0
8.405,"Der bürgerliche Zustand also, bloß als rechtlicher Zustand betrachtet, ist auf folgende Principien a priori gegründet:",0
9.1087,"Noch ist zu merken, daß das Salz nicht zum Leben nothwendig ist, da viele Völker, z. E. die Caraiben, ganz ohne dasselbe leben.",0
5.903,§ 82. Von dem teleologischen System in den äußern Verhältnissen organisirter Wesen.,0
8.629,"Was ist Philosophie, als Lehre, die unter allen Wissenschaften das größte Bedürfniß der Menschen ausmacht?",0
7.70,Vierter Abschnitt. Vom gesetzmäßigen Streit der oberen Facultäten mit der unteren.,0
2.57,Es kann auch gar nicht schwer fallen die angenommene Begriffe der Trägheitskraft aus andern Gründen zu widerlegen.,0
2.525,"§ 1. Die Mathematik gelangt zu allen ihren Definitionen synthetisch, die Philosophie aber analytisch.",0
